name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
910GCMDNRD,910GBHILLPK,0,0.129,0.33600003,0,0.231,0.186,0.88200003,overground,MTT
910GEDMNGRN,910GBHILLPK,0,0,0.784,5801,4148,13000001,123320001,overground,SUN
910GEDMNGRN,910GBHILLPK,0.069000006,9785,7167,6.54,3751,0.597,2790900001,overground,MTT
910GENFLDTN,910GBHILLPK,0,0,2539,20587,9171,2484,36317,overground,SUN
910GENFLDTN,910GBHILLPK,0.023,6522,18353,18871,6629,1214,51612,overground,MTT
910GGNRSBRY,910GBHILLPK,0.049000002,0.071,0.231,0,0.028,0.003,0.382000002,overground,MTT
910GGOSPLOK,910GBHILLPK,0,0,0,0.217,0.448,0.392,1104,overground,SUN
910GGOSPLOK,910GBHILLPK,0.001,0.191,1028,0.538,0.28100002,0.096,213500002,overground,MTT
910GHACKNYW,910GBHILLPK,0,0,0.001,0.855,0.356,0.666,2359,overground,SUN
910GHACKNYW,910GBHILLPK,0.009000001,0.501,0.116000004,1957,0.314,0.012,2909000005,overground,MTT
910GHAKNYNM,910GBHILLPK,0,0,1935,5868,3732,2328,15189,overground,SUN
910GHAKNYNM,910GBHILLPK,0.287,53120003,3.97,9268,2672,1295,228040003,overground,MTT
910GHGHMSPK,910GBHILLPK,0,0,0.305,0.08,0.008,0,0.393,overground,MTT
910GHMPSTDH,910GBHILLPK,0,0,0,0.321,0.295,0.296,0.914,overground,SUN
910GHMPSTDH,910GBHILLPK,0.002,0.32099998,1497,0,0.449,0.065,233399998,overground,MTT
910GHOMRTON,910GBHILLPK,0.036,0.409,0.801,1013,0.73300004,0.023,301500004,overground,MTT
910GLEYTNMR,910GBHILLPK,0.008,0.161,0.001,0,0.003,0,0.173,overground,MTT
910GLIVST,910GBHILLPK,0,0,4223,32075,37817,32096,118896,overground,SUN
910GLIVST,910GBHILLPK,9982,18859,64069,284267,159288,69328,605793,overground,MTT
910GLONFLDS,910GBHILLPK,0,0,0.011,5539,3771,0.757,11832,overground,SUN
910GLONFLDS,910GBHILLPK,0.361,2793,31859999,14063,6001,0.85899997,2726299987,overground,MTT
910GLYTNSHR,910GBHILLPK,0.089999996,0.286,0.001,0,0.09,0,0.466999996,overground,MTT
910GRCTRYRD,910GBHILLPK,0,0,1301,1957,15929999,0.466,56609999,overground,SUN
